_id	model.x	model.y	clust_3	lemma	newspaper	country	formality	_cws.model	_ctxt.model	disambiguation
laaiend/adj/algemeen_dagblad_20010730_101/671	-36.80067894	33.46087236	2	laaiend	algemeen_dagblad	Netherlands	popular	echt_genoot/noun;ben/verb;boek/noun;gris/verb	<small>na eindeloos zoeken , dat een vrouw het ticket als boekenlegger in een roman had</small> gestopt . Haar <u>echtgenoot</u><sup>2.483</sup> <u>was</u><sup>652.426</sup> <span class='target'>laaiend</span> . Hij <u>griste</u><sup>6.994</sup> het <u>boek</u><sup>3.986</sup> <small>uit haar handen en slingerde het weg . " Het meest zeuren de klanten nog</small>	furious
laaiend/adj/de_morgen_20011221_01_96/124	42.02525129	-30.65578047	1	laaiend	de_morgen	Belgium	quality	gemengd/adj;publiek/noun;blank_zwart/adj;enthoesiast/adj;over/prep;Les/name	<small>Eigen berichtgeving Catherine Vuylsteke De Brusselse Espace Senghor , een woensdagavond . Een volle theaterzaal</small> , het <u>gemengd</u><sup>1.69</sup> <u>blank-zwarte</u><sup>14.101</sup> <u>publiek</u><sup>256.994</sup> <span class='target'>laaiend</span> <u>enthousiast</u><sup>6715.698</sup> <u>over</u><sup>477.063</sup> Martin Ekanda's <u>Les</u><sup>2.006</sup> <small>Afriques s'affrontent . Over de plannen , gaat het stuk , van een Kongolese jongeman</small>	very
laaiend/adj/volkskrant_20000925_98/61	44.39707189	-2.863615916	1	laaiend	volkskrant	Netherlands	quality	geval/noun;ben/verb;publiek/noun;enthoesiast/adj;dirigent/noun	<small>zijn als altijd superieure leiding in Amsterdam lieten een verzengende gloed na . En in</small> alle <u>gevallen</u><sup>2.676</sup> <u>was</u><sup>652.426</sup> het <u>publiek</u><sup>256.994</sup> <span class='target'>laaiend</span> <u>enthousiast</u><sup>6715.698</sup> . Welke andere <u>dirigent</u><sup>1.983</sup> <small>dan Valeri Gergjev is in staat zulke explosies te creëren ? Vijf dagen achter elkaar</small>	very
laaiend/adj/de_standaard_19990102_01_104/602	26.15868814	-10.69491715	3	laaiend	de_standaard	Belgium	quality	niet/adv;in/prep;kiezer/noun;in/prep;geestdrift/noun	<small>gladstrijken en met trage woorden sussend optreden . Een edele taak . Maar zo ontsteek</small> je de <u>kiezer</u><sup>5.848</sup> <u>niet</u><sup>6.371</sup> <u>in</u><sup>18.376</sup> <span class='target'>laaiende</span> <u>geestdrift</u><sup>47.989</sup> . <u>In</u><sup>18.376</sup> de commissie-staatshervorming <small>van het Vlaamse Parlement komen de christen-democraten op voor hervormingen , die hun partijgenoten in</small>	furious
woedend/adj/het_laatste_nieuws_20000329_01_171/23	-7.587252166	-13.06571144	3	woedend	het_laatste_nieuws	Belgium	popular	machteloos/adj;uitgeblust/adj;ook/adv;tegelijk/adj;enorm/adj;lucht_op/verb	<small>Homejackers roven Mercedes en BMW in Aartselaar andquot; Uitgeblust , machteloos ,</small> andquot; <u>Uitgeblust</u><sup>1.883</sup> , <u>machteloos</u><sup>73.426</sup> , <span class='target'>woedend</span> en <u>tegelijk</u><sup>4.657</sup> <u>ook</u><sup>53.761</sup> <u>enorm</u><sup>5.293</sup> <u>opgelucht</u><sup>1.54</sup> <small>. Dankbaar omdat we het allen overleefden . andquot; Zo voelt Nancy Van Horen (</small>	furious
woedend/adj/volkskrant_20010823_133/754	1.612970995	-7.636939116	3	woedend	volkskrant	Netherlands	quality	Koeman/name;zeg/verb;na/prep;afgang/noun;zege/noun;meteen/adv	<small>gelijkmaker een zee van ruimte weg . ' Dat vond ik inderdaad dramatisch slecht '</small> , <u>zei</u><sup>23.598</sup> <u>Koeman</u><sup>11.36</sup> waarmee zijn <span class='target'>woedende</span> <u>afgang</u><sup>4.273</sup> <u>na</u><sup>12.221</sup> de <u>zege</u><sup>3.407</sup> <u>meteen</u><sup>1.235</sup> <small>verklaard is .</small>	furious
woedend/adj/nrc_handelsblad_20000826_163/3293	-45.29026783	51.21033084	2	woedend	nrc_handelsblad	Netherlands	quality	toe/adj;behandeling/noun;ben/verb;maak/verb	<small>zestien uur in een gesloten laadbak alsnog gepakt is , vindt hij tot daar aan</small> <u>toe</u><sup>10.55</sup> . Maar wat hem <span class='target'>woedend</span> <u>maakt</u><sup>42.383</sup> , <u>is</u><sup>2501.793</sup> de <u>behandeling</u><sup>1.098</sup> <small>van de Hongaarse grenspolitie . Zijn ondervragers klaagden dat hij weinig coöperatief was - ze</small>	furious
woedend/adj/de_standaard_20030222_01_162/70	0.844094268	-7.27055282	3	woedend	de_standaard	Belgium	quality	;Ferguson/name;Alex/name;manager/noun	<small>, de middenvelder van Manchester United , wordt na de nederlaag tegen Arsenal gehecht boven</small> zijn oog , nadat een <span class='target'>woedende</span> <u>Alex</u><sup>10.253</sup> <u>Ferguson</u><sup>35.048</sup> , de <u>manager</u><sup>8.008</sup> <small>van Manchester , per ongeluk een voetbalschoen in zijn gezicht trapte . WILLIAMS WINT WTA</small>	furious
woedend/adj/parool_20040401_57/249	-5.566208662	-3.198608075	3	woedend	parool	Netherlands	popular	angst/prep;voor/prep;Pilatus/name;bevolking/noun;joods/adj;heb/verb	<small>stem van de liefde : zij wil dat hij Jezus vrijlaat . Uiteindelijk zwicht hij</small> , uit <u>angst</u><sup>31.289</sup> <u>voor</u><sup>301.049</sup> de <span class='target'>woedende</span> <u>joodse</u><sup>27.937</sup> <u>bevolking</u><sup>45.186</sup> . <u>Pilatus</u><sup>4.975</sup> <u>heeft</u><sup>11.105</sup> <small>zo'n belangrijke rol in de film omdat mensen zich in hem kunnen verplaatsen . Dat</small>	furious
laaiend/adj/parool_20001011_58/453	-33.92553834	21.6570147	2	laaiend	parool	Netherlands	popular	ben/verb;Paula/name;woede/noun;van/prep	<small>zoontje luistert haar gesprekken vaak af en mede daardoor komt het drama op gang .</small> Een ander punt <u>is</u><sup>652.426</sup> de <span class='target'>laaiende</span> <u>woede</u><sup>15.058</sup> <u>van</u><sup>8.872</sup> <u>Paula</u><sup>4.145</sup> , die <small>toch zelf bijna openlijk vreemd gaat . Jelmer , een sukkel die alles van haar</small>	furious
