_id	model.x	model.y	clust_4	lemma	newspaper	country	formality	_cws.model	_ctxt.model	in_concept
briljant/adj/parool_20020410_30/65	-14.3728088951557	-17.2652160225502	1	briljant	parool	Netherlands	popular	zeker/adj;via/prep	<small>, Van der Hoeven , Enschede en De Winter . Sinds die jaren daalde het</small> niveau langzaam maar <u>zeker</u><sup>5.419</sup> van <span class='target'>briljant</span> , <u>via</u><sup>12.354</sup> goed en gewoon <small>tot matig . Toen Marius eind jaren zestig besloot te verhuizen van Olympiaplein 4 naar</small>	no
briljant/adj/parool_19990713_113/219	-16.5609040548055	-27.8652003554424	1	briljant	parool	Netherlands	popular	speel/verb;hier/adv;overigens/adv;saxofonist/noun;ander/adj;met/prep	<small>de grenzen van zijn mogelijkheden . Ik vind dit nog spannender dan Kind of blue</small> . Hij <u>speelt</u><sup>96.387</sup> <u>hier</u><sup>5.748</sup> <u>overigens</u><sup>2.197</sup> <span class='target'>briljant</span> samen <u>met</u><sup>88.375</sup> de <u>andere</u><sup>11.151</sup> <u>saxofonist</u><sup>10.447</sup> <small>, Cannonball Adderley . " 3 . Thad Jones/Mel Lewis Bigband Presenting the jazz orchestra</small>	yes
briljant/adj/nrc_handelsblad_20040427_57/227	12.1359080646384	8.17063302117604	2	briljant	nrc_handelsblad	Netherlands	quality	Palme/name;ben/verb;geschokt/adj;heb/verb;politicus/noun	<small>bezoek aan de bioscoop , nog als de dag van gisteren . " Ik was</small> <u>geschokt</u><sup>3.086</sup> . <u>Palme</u><sup>5.729</sup> <u>was</u><sup>336.212</sup> een <span class='target'>briljant</span> <u>politicus</u><sup>44.727</sup> en hij <u>had</u><sup>4.339</sup> een <small>positieve invloed op de wereld . " Mary-Ann is het met hem eens . "</small>	yes
briljant/adj/de_morgen_20020423_01_23/490	15.8809168171349	17.7197579907853	2	briljant	de_morgen	Belgium	quality	ben/verb;niet/adv;in/prep;team/noun	<small>fax , het nieuwste videospelletje en de microgolfoven . Voorwerpen die dertig jaar geleden nog</small> <u>niet</u><sup>5.714</sup> <u>waren</u><sup>336.212</sup> opgekomen <u>in</u><sup>63.223</sup> de <span class='target'>briljante</span> hersenen van het <u>team</u><sup>2.198</sup> van <small>Monty Python , simpelweg omdat ze nog niet waren uitgevonden of nog niet in gebruik</small>	yes
briljant/adj/algemeen_dagblad_20011107_178/23	27.0398322291965	-28.4028653639507	1	briljant	algemeen_dagblad	Netherlands	popular	Nintendo/name;laat/verb;idee/noun;soms/adv;terug/adv	<small>Terwijl de hele wereld zich druk maakt over driedimensionale graphics en de snelste videokaart ,</small> <u>laat</u><sup>1.934</sup> <u>Nintendo</u><sup>2.062</sup> zien dat een <span class='target'>briljant</span> <u>idee</u><sup>979.189</sup> <u>soms</u><sup>96.623</sup> een stapje <u>terug</u><sup>1.357</sup> <small>betekent . Paper Mario voor de N64 bijvoorbeeld . Niet zomaar een ` ren- en</small>	yes
geniaal/adj/parool_20040124_107/202	30.2878192613908	6.25777828543112	2	geniaal	parool	Netherlands	popular	ben/verb;held/noun;echt/adj;	<small>Derde . Heel bijzonder . Ik heb die voorstelling wel acht keer gezien . Hij</small> <u>is</u><sup>342.896</sup> mijn <u>echte</u><sup>16.684</sup> <u>held</u><sup>23.214</sup> . <span class='target'>Geniaal</span> . <small></small>	NA
geniaal/adj/het_laatste_nieuws_19990219_01_385/15	24.6675761657604	-27.318003849643	1	geniaal	het_laatste_nieuws	Belgium	popular	eenvoudig/adj;idee/noun;ben/verb;	<small>Het idee is zowel eenvoudig als</small> <u>idee</u><sup>527.78</sup> <u>is</u><sup>342.896</sup> zowel <u>eenvoudig</u><sup>141.184</sup> als <span class='target'>geniaal</span> . Je neemt de vorm <small>van een vierkant en deelt dat symmetrisch in kleinere vierkanten op , of je voegt</small>	yes
briljant/adj/nrc_handelsblad_20020315_182/464	19.1961800713568	-39.5647944829616	1	briljant	nrc_handelsblad	Netherlands	quality	in/prep;Jaloers/name;meedogenloos/adj;dialoog/noun;introspectie/noun	<small>Parool , zonder in- of uitleiding . Gelukkig staat er ook het niet eerder gepubliceerde</small> ` <u>Jaloers</u><sup>10.923</sup> ' <u>in</u><sup>63.223</sup> : <span class='target'>briljante</span> <u>dialogen</u><sup>53.215</sup> en <u>meedogenloze</u><sup>21.436</sup> <u>introspectie</u><sup>12.708</sup> . <small>Zijn hartenkreten over ongelukkige liefdes en erotisch ongemak doen denken aan Peter van Straatens tekeningen</small>	yes
briljant/adj/algemeen_dagblad_20010713_104/249	28.7071185516713	-1.24396835845673	2	briljant	algemeen_dagblad	Netherlands	popular	erg/adj;vind/verb	<small>om de sterke dollar . " De euro is niet zwak , hij is alleen</small> <u>erg</u><sup>3.198</sup> stabiel . " Een <span class='target'>briljante</span> uitspraak , <u>vinden</u><sup>52.96</sup> wij van <small>de Kumpenie . Wij bevelen hem - op het gebied van de bedrijfsresultaten - van</small>	yes
geniaal/adj/volkskrant_20031229_46/445	30.7119259479751	12.4268605432631	2	geniaal	volkskrant	Netherlands	quality	speel/verb;zal/verb;word/verb;ben/verb;nu/adv;solo/noun	<small>solo's ) zijn buitengewoon knap . Als ze door een tenorsax met een sappige sound</small> <u>gespeeld</u><sup>8.99</sup> <u>werden</u><sup>48.263</sup> , <u>zouden</u><sup>25.397</sup> het <span class='target'>geniale</span> <u>solo's</u><sup>14.333</sup> <u>zijn</u><sup>342.896</sup> <u>geweest</u><sup>342.896</sup> . <u>Nu</u><sup>3.032</sup> <small>bleef het toch wat tam klinken .</small>	yes
briljant/adj/het_laatste_nieuws_20010424_01_122/227	-33.5629749954646	20.2694116463753	1	briljant	het_laatste_nieuws	Belgium	popular	het/noun;achter_kleinkind/noun;echtpaar/noun;in/prep;word/verb	<small>: Patrick , Monique en Gudrun . Zij zorgden op hun beurt voor acht kleinkinderen</small> en vijf <u>achterkleinkinderen</u><sup>28.375</sup> . <u>Het</u><sup>4.926</sup> <span class='target'>briljanten</span> <u>echtpaar</u><sup>137.587</sup> <u>werd</u><sup>81.253</sup> zondagmorgen <u>in</u><sup>63.223</sup> de <small>bloemetjes gezet door het college van burgemeester en schepenen . ( BCR . Foto Kurt</small>	no
geniaal/adj/het_laatste_nieuws_20030915_01_422/108	28.266627059042	6.01597491119699	2	geniaal	het_laatste_nieuws	Belgium	popular	ben/verb;voetballer/noun	<small>. andquot; Het zou geen geschenk geweest zijn voor Kristinsson om hem dan in te</small> brengen . Hij <u>is</u><sup>342.896</sup> een <span class='target'>geniale</span> <u>voetballer</u><sup>184.985</sup> , maar hij draait <small>niet de jongste tijd . Je kan niet vragen dat hij op zulke momenten de</small>	NA
briljant/adj/de_morgen_20030305_01_106/55	-33.0874992256344	18.8519733019709	1	briljant	de_morgen	Belgium	quality	Lucy/name;advocate/noun	<small>, het gezicht van een groot vastgoedmakelaarsbedrijf , is rijk , verwend en een rokkenjager</small> . <u>Lucy</u><sup>10.889</sup> Kelton , een <span class='target'>briljante</span> <u>advocate</u><sup>23.139</sup> die de wereld en <small>oude gebouwen wil redden van de sloophamer , werkt zich te pletter als juriste voor</small>	yes
briljant/adj/volkskrant_20040508_extra_102/105	-39.6245650524013	-16.1366655151689	3	briljant	volkskrant	Netherlands	quality	win/verb;wit/adj;Kf7/noun;Txh5/noun;!/noun;met/prep	<small>de g-pion ( 28 ... Kf6 ? 29 . Tg2 ) en na de vluchtpoging</small> 26 ... <u>Kf7</u><sup>14.206</sup> <u>wint</u><sup>1.476</sup> <u>wit</u><sup>1.255</sup> <span class='target'>briljant</span> <u>met</u><sup>88.375</sup> 27 . <u>Txh5</u><sup>21.846</sup> <u>!</u><sup>3.529</sup> <small>gxh5 28 . Dxh5+ Ke7 29 . Lg5+ Pf6 30 .</small>	no
geniaal/adj/de_morgen_20030602_01_30/12	23.5617328038446	-40.0771845276697	1	geniaal	de_morgen	Belgium	quality	wezen_DIM/noun;brein/noun;vandaag/adv;Ketnet/name	<small>Friese wezentjes en</small> Friese <u>wezentjes</u><sup>5.888</sup> en <span class='target'>geniale</span> <u>breinen</u><sup>83.687</sup> <u>Ketnet</u><sup>7.819</sup> programmeert vanaf <u>vandaag</u><sup>3.39</sup> <small>elke dag de nieuwe Vlaams-Nederlandse animatiereeks De Sommeltjes ( Ketnet , 16.45u ) , een</small>	yes
briljant/adj/nrc_handelsblad_20000316_153/217	-35.6511605219932	-14.8660925871608	3	briljant	nrc_handelsblad	Netherlands	quality	win/verb;prestatie/noun;met/prep	<small>de slotfase : 3-1 . Barcelona , al zeker van een plek bij de laatste</small> acht , <u>won</u><sup>1.476</sup> zonder een <span class='target'>briljante</span> <u>prestatie</u><sup>11.858</sup> te leveren <u>met</u><sup>88.375</sup> 3-1 <small>van Hertha BSC . Voor de Calaanse ploeg scoorden Xavi , Gabri en Kluivert .</small>	yes
briljant/adj/volkskrant_20020313_84/338	-12.9145949577348	-47.1476571452145	1	briljant	volkskrant	Netherlands	quality	Catullus/name;in/prep;reeks/noun;kus_gedicht/noun;in/prep;schrijf/verb	<small>dichter aller tijden , Janus Secundus , die aan het begin van de zestiende eeuw</small> <u>in</u><sup>63.223</sup> navolging van <u>Catullus</u><sup>8.407</sup> een <span class='target'>briljante</span> <u>reeks</u><sup>9.31</sup> <u>kusgedichten</u><sup>11.449</sup> <u>schreef</u><sup>86.711</sup> - <u>in</u><sup>63.223</sup> <small>het Latijn . In deze Basia worden niet alleen alle nuances van de tongsport met</small>	yes
briljant/adj/het_laatste_nieuws_19990715_01_15/130	-30.4289710810366	4.12370667757808	1	briljant	het_laatste_nieuws	Belgium	popular	zit/verb;aantal/noun;	<small>, een 48-jarige Brusselaar en een 28-jarige man uit Parijs , zich over . In</small> de tas <u>zaten</u><sup>8.242</sup> een <u>aantal</u><sup>3.418</sup> <span class='target'>briljanten</span> en een steen van 0,5 <small>karaat , samen goed voor een waarde van 400.000 frank . Het roversduo beweerde de</small>	no
briljant/adj/nrc_handelsblad_20040508_114/53	29.5548541699105	25.0846937402341	2	briljant	nrc_handelsblad	Netherlands	quality	ben/verb;waarom/adv;prestatie/noun	<small>heeft hij wel . Waarom kostte het zo veel tijd om hem vrij te krijgen</small> ? " Dat <u>was</u><sup>336.212</sup> geen <span class='target'>briljante</span> <u>prestatie</u><sup>11.858</sup> . " <u>Waarom</u><sup>3.679</sup> kwamen <small>in gevangenschap opgenomen video's en andere levenstekens niet in de buitenwereld terecht ? Waarom huurde</small>	no
briljant/adj/het_laatste_nieuws_20030823_01_204/144	-38.5112325800893	21.2878614997896	1	briljant	het_laatste_nieuws	Belgium	popular	het/noun;Lunapark/noun;heb/verb;echtpaar/noun;dochter/noun	<small>en radioandapos;s uitgebaat . Nadien trokken Adri en Joanna naar de kust , waar ze</small> een <u>Lunapark</u><sup>10.339</sup> openden . <u>Het</u><sup>4.926</sup> <span class='target'>briljanten</span> <u>echtpaar</u><sup>137.587</sup> <u>heeft</u><sup>4.339</sup> een <u>dochter</u><sup>9.682</sup> die <small>in Spanje woont en een kleinzoon . ( JVRB . Foto Deman )</small>	no
briljant/adj/de_morgen_20010126_01_205/47	-2.36091307237067	-47.8905082109366	1	briljant	de_morgen	Belgium	quality	Street/name;Saxophone/name;Quartet/name;puzzelaars/noun	<small>tamelijk brede waaier van temperamenten . Je hebt bijvoorbeeld de stoere mannen van het 29th</small> <u>Street</u><sup>2.115</sup> <u>Saxophone</u><sup>19.442</sup> <u>Quartet</u><sup>12.509</sup> , de <span class='target'>briljante</span> <u>puzzelaars</u><sup>20.678</sup> van Rova en de <small>hele school die in het zog van wijlen Julius Hemphill ontstaan is . Die laatste</small>	yes
briljant/adj/de_morgen_20010324_01_290/257	37.1644735409595	11.4838949578211	2	briljant	de_morgen	Belgium	quality	daar/adv;situatie/noun;ben/verb;niet/adv;iemand/noun;voor/prep	<small>op hun laagste punt sinds 1996 . Solvay levert onder meer aan de autosector en</small> <u>daar</u><sup>3.461</sup> <u>is</u><sup>336.212</sup> de <u>situatie</u><sup>1.575</sup> <u>niet</u><sup>5.714</sup> <span class='target'>briljant</span> . Maar <u>voor</u><sup>18.664</sup> <u>iemand</u><sup>13.231</sup> die <small>tot voorbij de huidige groeivertraging kijkt , is de beurskoers van Solvay gewoon normaal .</small>	no
briljant/adj/parool_20000619_83/98	-14.0583085404523	-23.8437891608593	1	briljant	parool	Netherlands	popular	speel/verb;tegen/prep;Ghandi/name;word/verb;bowl/verb;field/verb	<small>. " Zaterdag hadden we een complete off-day . Zo slecht hebben we nog nooit</small> <u>gespeeld</u><sup>96.387</sup> . <u>Tegen</u><sup>23.717</sup> <u>Ghandi</u><sup>6.942</sup> <u>werd</u><sup>81.253</sup> <span class='target'>briljant</span> <u>gefield</u><sup>6.116</sup> en <u>gebowld</u><sup>4.279</sup> , maar <small>aan bat maakten we het onszelf toch weer moeilijk . "</small>	no
geniaal/adj/het_nieuwsblad_20000518_01_593/31	-12.7059205020427	6.5115761826643	1	geniaal	het_nieuwsblad	Belgium	popular	vergeethoek/noun;ego/noun;formidabel/adj;man_DIM/noun;met/prep	<small>Zijn naam is ( weer ) Prince Vanaf vandaag mogen we het liefdessymbool weer in</small> de <u>vergeethoek</u><sup>5.824</sup> gooien en het <span class='target'>geniale</span> <u>mannetje</u><sup>2.662</sup> <u>met</u><sup>6.675</sup> het <u>formidabele</u><sup>2.535</sup> <u>ego</u><sup>6.021</sup> <small>weer Prince noemen . Nu , straks en eeuwig . Het was de eerste aankondiging</small>	yes
geniaal/adj/volkskrant_20020124_152/31	-2.20580486645766	16.6642079250788	1	geniaal	volkskrant	Netherlands	quality	bij/prep;beteken/verb;bescheiden/adj;geleerde/noun	<small>onwetendheid dan ' iets ' . ' Ik weet er iets van ' , dat</small> <u>betekent</u><sup>1.757</sup> , behalve <u>bij</u><sup>22.849</sup> een <span class='target'>geniale</span> <u>bescheiden</u><sup>4.191</sup> <u>geleerde</u><sup>52.33</sup> , ' niets <small>' . Maar die weet er dan ook alles van . Een fraaie poging tot</small>	yes
briljant/adj/de_morgen_20020114_01_61/319	34.7976422070226	4.93944799077747	2	briljant	de_morgen	Belgium	quality	ben/verb;griezelig/adj;soort/noun;dis_sectie/noun	<small>aangezette adempauzen en het misleidende beroep op emoties kon van hen allen zijn . Der</small> Tribun <u>is</u><sup>336.212</sup> dan ook een <span class='target'>briljante</span> <u>dissectie</u><sup>7.566</sup> van de <u>griezelige</u><sup>10.621</sup> <u>soort</u><sup>1.581</sup> <small>Wille zur Macht die van alle tijden is . Vermakelijk en confronterend tegelijk . Kagel</small>	yes
geniaal/adj/volkskrant_19990816_49/100	34.2046216395566	-31.7774081611366	1	geniaal	volkskrant	Netherlands	quality	;op/prep;idee/noun;conto/noun;kom/verb	<small>op een stapel betonijzer , wist al dat er risico's zijn verbonden aan dit vervoer</small> . Geen nood . Het <span class='target'>geniale</span> <u>idee</u><sup>527.78</sup> <u>komt</u><sup>4.337</sup> <u>op</u><sup>8.537</sup> het <u>conto</u><sup>3.693</sup> <small>van de Betonijzerbuigcentrale uit Hardinxveld-Giessendam . Omdat de ' betonmixer echt niet wacht totdat het</small>	yes
