esposo/n/per_g0130/31581,120
esposo/n/usa_b0333/9935,120
marido/n/arg_g1370/13521,120
marido/n/col_g1346/3686,4
esposo/n/per_g0516/53754,120
esposo/n/usa_b0808/10610,120
marido/n/per_g0288/21697,14
esposo/n/mex_b1569/19327,48
esposo/n/usa_b0228/686,146
esposo/n/usa_b0459/37251,120
esposo/n/mex_b1489/25481,120
marido/n/usa_g0892/48307,115
marido/n/spa_b2471/1827,92
marido/n/mex_b2123/57193,105
marido/n/spa_b4354/60388,77
marido/n/col_g0828/45820,11
esposo/n/per_b0205/10070,120
esposo/n/per_g0481/23231,122
marido/n/spa_g2285/19930,120
marido/n/per_g0271/25990,5
esposo/n/col_g0278/40740,120
esposo/n/arg_g1637/18230,120
esposo/n/col_g1023/44042,120
marido/n/usa_b1207/14588,147
marido/n/spa_g3603/22991,120
esposo/n/mex_b1173/53431,120
esposo/n/per_b0887/56184,104
marido/n/arg_b0476/22836,36
esposo/n/spa_b1687/35244,120
marido/n/usa_b0582/50154,120
marido/n/usa_g0789/56579,120
marido/n/mex_g2117/21997,93
esposo/n/arg_g1675/31513,120
esposo/n/arg_g0356/40874,120
marido/n/spa_b3187/14482,120
marido/n/mex_g0351/8234,120
esposo/n/per_b0307/16498,120
marido/n/per_b0350/42908,120
esposo/n/usa_b0846/5458,120
esposo/n/usa_g0165/26375,120
marido/n/usa_b1428/50391,120
esposo/n/per_g0052/37643,120
esposo/n/arg_g1046/16452,120
esposo/n/mex_b1711/27157,138
esposo/n/usa_b1178/16791,138
marido/n/arg_g1504/13906,120
esposo/n/usa_g0338/14157,120
marido/n/spa_g2786/5625,120
esposo/n/col_b1580/8692,120
marido/n/spa_b3452/31146,120
esposo/n/usa_b0741/53327,121
esposo/n/arg_g0398/15743,120
marido/n/arg_g0932/34665,120
marido/n/usa_b0087/7268,61
marido/n/arg_b0630/2026,52
esposo/n/col_g1602/14165,120
marido/n/col_b0035/27237,120
esposo/n/usa_b0968/42120,120
marido/n/spa_b0080/28171,120
esposo/n/usa_b1555/29239,120
esposo/n/arg_g0852/82983,120
esposo/n/mex_g1546/44967,120
esposo/n/col_g0932/11672,131
marido/n/spa_g1467/42608,120
esposo/n/mex_b1787/17341,120
marido/n/arg_b0400/43852,10
marido/n/usa_b0681/36201,120
marido/n/spa_b1490/19157,120
esposo/n/mex_b2130/25312,136
marido/n/col_b0278/2510,120
esposo/n/spa_g0772/51307,120
marido/n/per_b1001/21047,120
esposo/n/spa_g1151/37594,120
marido/n/spa_b1117/25558,120
esposo/n/col_b0825/13888,6
marido/n/usa_g0604/123271,120
esposo/n/per_b0383/43633,20
esposo/n/col_g1208/11843,121
marido/n/spa_g1940/53461,73
esposo/n/usa_g0621/53734,120
marido/n/arg_g0341/22974,50
marido/n/mex_g1040/59263,-1
esposo/n/per_b0447/59175,101
marido/n/mex_g1619/4205,76
marido/n/per_g0592/41590,5
marido/n/mex_b0915/54031,118
marido/n/arg_g0375/48258,120
esposo/n/usa_g0229/95229,120
marido/n/arg_g1140/46320,93
esposo/n/mex_b1480/34729,120
esposo/n/usa_g0738/26037,120
marido/n/col_b1187/46929,59
marido/n/spa_g2269/26835,50
esposo/n/arg_g0977/18585,23
esposo/n/arg_b0373/43132,120
marido/n/per_b0072/41941,120
marido/n/per_g0804/54222,120
esposo/n/mex_g0912/54187,101
marido/n/per_g0093/5099,120
marido/n/col_b0504/54520,120
esposo/n/mex_b0237/28367,120
esposo/n/arg_g0356/44367,120
marido/n/arg_b0648/20877,50
marido/n/spa_g1354/45398,120
marido/n/mex_g2254/43145,120
esposo/n/arg_g0626/23759,145
esposo/n/usa_b1330/44652,120
esposo/n/spa_g2002/42745,41
esposo/n/spa_g2002/57977,29
marido/n/arg_b0324/27717,120
marido/n/col_b0160/38764,120
marido/n/usa_g0086/19164,139
marido/n/spa_b3926/61497,120
marido/n/usa_b0347/46315,33
marido/n/mex_g1121/55564,120
marido/n/usa_g1255/4610,101
marido/n/per_b0471/36494,120
esposo/n/arg_b1481/22926,120
marido/n/usa_g0604/176032,120
esposo/n/col_b0136/46824,120
